Power Consumed,StdNormalQuantiles,Confidence_Interval_L,Confidence_Interval_U
9.32E-07,1.484536,1.415322,1.554512
9.32E-07,1.482026,1.412915,1.551893
9.32E-07,1.479525,1.410517,1.549284
9.32E-07,1.477033,1.408128,1.546685
9.32E-07,1.474551,1.405747,1.544097
9.33E-07,1.472077,1.403374,1.541517
9.33E-07,1.469613,1.401009,1.538948
9.33E-07,1.467157,1.398653,1.536389
9.33E-07,1.46471,1.396305,1.533838
9.33E-07,1.462272,1.393965,1.531298
9.33E-07,1.459843,1.391633,1.528766
9.33E-07,1.457422,1.389309,1.526245
9.33E-07,1.455009,1.386992,1.523732
9.33E-07,1.452605,1.384684,1.521228
9.34E-07,1.45021,1.382383,1.518734
9.34E-07,1.447823,1.38009,1.516248
9.34E-07,1.445444,1.377804,1.513771
9.34E-07,1.443073,1.375526,1.511303
9.34E-07,1.44071,1.373256,1.508844
9.34E-07,1.438355,1.370993,1.506394
9.34E-07,1.436008,1.368737,1.503952
9.34E-07,1.433669,1.366488,1.501518
9.34E-07,1.431338,1.364247,1.499094
9.34E-07,1.429015,1.362013,1.496677
9.34E-07,1.426699,1.359786,1.494269
9.34E-07,1.424391,1.357566,1.491869
9.35E-07,1.42209,1.355353,1.489477
9.35E-07,1.419797,1.353147,1.487093
9.35E-07,1.417512,1.350948,1.484717
9.35E-07,1.415234,1.348756,1.48235
9.35E-07,1.412963,1.34657,1.47999
9.35E-07,1.410699,1.344391,1.477638
9.35E-07,1.408443,1.342219,1.475293
9.35E-07,1.406194,1.340054,1.472957
9.35E-07,1.403951,1.337895,1.470628
9.36E-07,1.401716,1.335742,1.468307
9.36E-07,1.399488,1.333596,1.465993
9.36E-07,1.397267,1.331457,1.463686
9.36E-07,1.395053,1.329324,1.461388
9.36E-07,1.392845,1.327197,1.459096
9.36E-07,1.390644,1.325076,1.456812
9.36E-07,1.38845,1.322962,1.454535
9.36E-07,1.386263,1.320854,1.452265
9.36E-07,1.384082,1.318752,1.450002
9.36E-07,1.381908,1.316656,1.447746
9.36E-07,1.37974,1.314566,1.445497
9.36E-07,1.377579,1.312482,1.443256
9.36E-07,1.375424,1.310404,1.441021
9.36E-07,1.373276,1.308332,1.438793
9.36E-07,1.371134,1.306266,1.436572
9.36E-07,1.368998,1.304206,1.434357
9.37E-07,1.366868,1.302151,1.432149
9.37E-07,1.364745,1.300102,1.429948
9.37E-07,1.362627,1.298059,1.427754
9.37E-07,1.360516,1.296022,1.425566
9.37E-07,1.358411,1.29399,1.423384
9.37E-07,1.356312,1.291964,1.421209
9.37E-07,1.354219,1.289943,1.41904
9.37E-07,1.352131,1.287928,1.416878
9.37E-07,1.35005,1.285919,1.414722
9.37E-07,1.347974,1.283914,1.412572
9.37E-07,1.345904,1.281915,1.410429
9.38E-07,1.34384,1.279922,1.408292
9.38E-07,1.341782,1.277934,1.40616
9.38E-07,1.339729,1.275951,1.404035
9.38E-07,1.337682,1.273973,1.401916
9.38E-07,1.335641,1.272001,1.399803
9.38E-07,1.333605,1.270033,1.397696
9.38E-07,1.331575,1.268071,1.395595
9.38E-07,1.32955,1.266114,1.393499
9.38E-07,1.32753,1.264162,1.39141
9.38E-07,1.325516,1.262215,1.389326
9.38E-07,1.323507,1.260273,1.387248
9.39E-07,1.321504,1.258336,1.385176
9.39E-07,1.319506,1.256404,1.383109
9.39E-07,1.317513,1.254477,1.381048
9.39E-07,1.315526,1.252555,1.378993
9.39E-07,1.313543,1.250637,1.376943
9.39E-07,1.311566,1.248724,1.374898
9.39E-07,1.309594,1.246817,1.37286
9.39E-07,1.307627,1.244913,1.370826
9.39E-07,1.305665,1.243015,1.368798
9.39E-07,1.303707,1.241121,1.366775
9.39E-07,1.301755,1.239232,1.364758
9.39E-07,1.299808,1.237348,1.362746
